"Step","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX"
"59","1207.118949581186","1207.118949581186","1207.118949581186","1210.0845451085752","1210.0845451085752","1210.0845451085752","1193.7537155988239","1193.7537155988239","1193.7537155988239"
"61","1208.9109693080882","1208.9109693080882","1208.9109693080882","1209.9944510415016","1209.9944510415016","1209.9944510415016","1191.4501180200396","1191.4501180200396","1191.4501180200396"
"63","1208.5617918386693","1208.5617918386693","1208.5617918386693","1208.3504045864017","1208.3504045864017","1208.3504045864017","1188.155315899105","1188.155315899105","1188.155315899105"
"65","1209.4312767550646","1209.4312767550646","1209.4312767550646","1208.6655948256785","1208.6655948256785","1208.6655948256785","1187.039284635079","1187.039284635079","1187.039284635079"
"67","1209.6196199924134","1209.6196199924134","1209.6196199924134","1209.1674129247397","1209.1674129247397","1209.1674129247397","1186.9966521667666","1186.9966521667666","1186.9966521667666"
"69","1211.3443594778262","1211.3443594778262","1211.3443594778262","1210.476647877485","1210.476647877485","1210.476647877485","1190.0151853051802","1190.0151853051802","1190.0151853051802"
"71","1211.243067778234","1211.243067778234","1211.243067778234","1210.9414162942123","1210.9414162942123","1210.9414162942123","1190.247646730094","1190.247646730094","1190.247646730094"
"73","1211.8978729715204","1211.8978729715204","1211.8978729715204","1209.9326590732367","1209.9326590732367","1209.9326590732367","1193.7022562916834","1193.7022562916834","1193.7022562916834"
"75","1211.9583134936938","1211.9583134936938","1211.9583134936938","1209.174038944906","1209.174038944906","1209.174038944906","1194.7278810000944","1194.7278810000944","1194.7278810000944"
"77","1212.3095710592027","1212.3095710592027","1212.3095710592027","1207.9297858298823","1207.9297858298823","1207.9297858298823","1195.688259876094","1195.688259876094","1195.688259876094"
"79","1212.9649106426018","1212.9649106426018","1212.9649106426018","1206.621148222018","1206.621148222018","1206.621148222018","1197.8060430382145","1197.8060430382145","1197.8060430382145"
"81","1211.928050532604","1211.928050532604","1211.928050532604","1206.531502604545","1206.531502604545","1206.531502604545","1198.7087136612192","1198.7087136612192","1198.7087136612192"
"83","1211.4091299396275","1211.4091299396275","1211.4091299396275","1206.705839207257","1206.705839207257","1206.705839207257","1199.3604280873658","1199.3604280873658","1199.3604280873658"
"85","1209.4499931441032","1209.4499931441032","1209.4499931441032","1208.0398877832915","1208.0398877832915","1208.0398877832915","1199.9859018491004","1199.9859018491004","1199.9859018491004"
"87","1209.1158800802855","1209.1158800802855","1209.1158800802855","1208.4525943420674","1208.4525943420674","1208.4525943420674","1200.541524303821","1200.541524303821","1200.541524303821"
"89","1207.503544915763","1207.503544915763","1207.503544915763","1209.0586916426967","1209.0586916426967","1209.0586916426967","1201.6667553181398","1201.6667553181398","1201.6667553181398"
"91","1206.5639165628852","1206.5639165628852","1206.5639165628852","1208.3991399690233","1208.3991399690233","1208.3991399690233","1203.0505994373673","1203.0505994373673","1203.0505994373673"
"93","1206.2646650124852","1206.2646650124852","1206.2646650124852","1206.8579417011724","1206.8579417011724","1206.8579417011724","1201.4072675316872","1201.4072675316872","1201.4072675316872"
"95","1207.5000116540757","1207.5000116540757","1207.5000116540757","1205.6235795871921","1205.6235795871921","1205.6235795871921","1200.443698520719","1200.443698520719","1200.443698520719"
"97","1207.3186854031671","1207.3186854031671","1207.3186854031671","1204.9581149065964","1204.9581149065964","1204.9581149065964","1198.6273876695004","1198.6273876695004","1198.6273876695004"
"99","1207.061192995543","1207.061192995543","1207.061192995543","1204.5725470683058","1204.5725470683058","1204.5725470683058","1196.0264169516702","1196.0264169516702","1196.0264169516702"
"101","1207.4890985270408","1207.4890985270408","1207.4890985270408","1203.5194994184023","1203.5194994184023","1203.5194994184023","1195.3039569839107","1195.3039569839107","1195.3039569839107"
"103","1207.0911341372441","1207.0911341372441","1207.0911341372441","1202.8821032999333","1202.8821032999333","1202.8821032999333","1194.3022274551943","1194.3022274551943","1194.3022274551943"
"105","1207.796452353257","1207.796452353257","1207.796452353257","1203.359402057717","1203.359402057717","1203.359402057717","1195.1343909093778","1195.1343909093778","1195.1343909093778"
"107","1208.3009680437465","1208.3009680437465","1208.3009680437465","1203.053408591206","1203.053408591206","1203.053408591206","1194.9237331320917","1194.9237331320917","1194.9237331320917"
"109","1209.0706291715396","1209.0706291715396","1209.0706291715396","1201.8269540285107","1201.8269540285107","1201.8269540285107","1196.3909895786571","1196.3909895786571","1196.3909895786571"
"111","1209.8744611025065","1209.8744611025065","1209.8744611025065","1201.5473944526975","1201.5473944526975","1201.5473944526975","1197.470246505673","1197.470246505673","1197.470246505673"
