"Step","fanciful-leaf-84penalty_weight1 - make_span_mean","fanciful-leaf-84penalty_weight1 - make_span_mean__MIN","fanciful-leaf-84penalty_weight1 - make_span_mean__MAX","spring-brook-83penalty_weight1 - make_span_mean","spring-brook-83penalty_weight1 - make_span_mean__MIN","spring-brook-83penalty_weight1 - make_span_mean__MAX","exalted-resonance-82penalty_weight1 - make_span_mean","exalted-resonance-82penalty_weight1 - make_span_mean__MIN","exalted-resonance-82penalty_weight1 - make_span_mean__MAX"
"206","1684.51","1684.51","1684.51","1713.91","1713.91","1713.91","1730.14","1730.14","1730.14"
"208","1685.76","1685.76","1685.76","1713.58","1713.58","1713.58","1724.36","1724.36","1724.36"
"210","1686.61","1686.61","1686.61","1723.41","1723.41","1723.41","1727.63","1727.63","1727.63"
"212","1686.21","1686.21","1686.21","1725.48","1725.48","1725.48","1727.44","1727.44","1727.44"
"214","1686.05","1686.05","1686.05","1731.85","1731.85","1731.85","1722.05","1722.05","1722.05"
"216","1688.35","1688.35","1688.35","1728.73","1728.73","1728.73","1725.37","1725.37","1725.37"
"218","1684.78","1684.78","1684.78","1736.67","1736.67","1736.67","1732.99","1732.99","1732.99"
"220","1682.57","1682.57","1682.57","1734.5","1734.5","1734.5","1738.15","1738.15","1738.15"
"222","1686.33","1686.33","1686.33","1728.71","1728.71","1728.71","1738.72","1738.72","1738.72"
"224","1690.58","1690.58","1690.58","1729.48","1729.48","1729.48","1742.06","1742.06","1742.06"
"226","1693.62","1693.62","1693.62","1734.41","1734.41","1734.41","1743.94","1743.94","1743.94"
"228","1707.5","1707.5","1707.5","1735.78","1735.78","1735.78","1744.05","1744.05","1744.05"
"230","1722.83","1722.83","1722.83","1736.8","1736.8","1736.8","1747.54","1747.54","1747.54"
"232","1731.04","1731.04","1731.04","1736.01","1736.01","1736.01","1750.29","1750.29","1750.29"
"234","1745.36","1745.36","1745.36","1733.22","1733.22","1733.22","1749.15","1749.15","1749.15"
"236","1769.93","1769.93","1769.93","1726.61","1726.61","1726.61","1750.15","1750.15","1750.15"
"238","1783.13","1783.13","1783.13","1705.06","1705.06","1705.06","1757.27","1757.27","1757.27"
"240","1785.85","1785.85","1785.85","1694.94","1694.94","1694.94","1751.89","1751.89","1751.89"
"242","1784.42","1784.42","1784.42","1690.58","1690.58","1690.58","1747.32","1747.32","1747.32"
"244","1778.83","1778.83","1778.83","1689.59","1689.59","1689.59","1747.61","1747.61","1747.61"
"246","1763.4","1763.4","1763.4","1688.06","1688.06","1688.06","1744.25","1744.25","1744.25"
"248","1748.56","1748.56","1748.56","1694.75","1694.75","1694.75","1734.95","1734.95","1734.95"
"250","1736.87","1736.87","1736.87","1709.82","1709.82","1709.82","1725.59","1725.59","1725.59"
"252","1724.62","1724.62","1724.62","1712.03","1712.03","1712.03","1717.65","1717.65","1717.65"
"254","1706.68","1706.68","1706.68","1719.53","1719.53","1719.53","1717.65","1717.65","1717.65"
