"Step","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","happy-wildflower-78penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","magic-oath-77penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MIN","distinctive-shape-76penalty_weight0.5 - custom_metrics.total_energy_costs_mean__MAX"
"151","1192.025280557575","1192.025280557575","1192.025280557575","1193.9335321300998","1193.9335321300998","1193.9335321300998","1194.0946770016112","1194.0946770016112","1194.0946770016112"
"153","1192.3956239719314","1192.3956239719314","1192.3956239719314","1194.2624190473173","1194.2624190473173","1194.2624190473173","1193.81768881373","1193.81768881373","1193.81768881373"
"155","1192.292214568385","1192.292214568385","1192.292214568385","1194.0986440623312","1194.0986440623312","1194.0986440623312","1194.2772007206747","1194.2772007206747","1194.2772007206747"
"157","1191.870070370136","1191.870070370136","1191.870070370136","1193.5550064829147","1193.5550064829147","1193.5550064829147","1194.9488833486103","1194.9488833486103","1194.9488833486103"
"159","1192.2273058697092","1192.2273058697092","1192.2273058697092","1193.6570299427876","1193.6570299427876","1193.6570299427876","1194.8535054050633","1194.8535054050633","1194.8535054050633"
"161","1191.518201093656","1191.518201093656","1191.518201093656","1193.4588175048195","1193.4588175048195","1193.4588175048195","1194.5491131744473","1194.5491131744473","1194.5491131744473"
"163","1191.7207709991462","1191.7207709991462","1191.7207709991462","1192.740530350538","1192.740530350538","1192.740530350538","1194.6355738059863","1194.6355738059863","1194.6355738059863"
"165","1191.9653359357712","1191.9653359357712","1191.9653359357712","1192.148564873407","1192.148564873407","1192.148564873407","1194.460393927995","1194.460393927995","1194.460393927995"
"167","1192.829721629737","1192.829721629737","1192.829721629737","1192.210979002433","1192.210979002433","1192.210979002433","1193.738304965704","1193.738304965704","1193.738304965704"
"169","1192.7955628978723","1192.7955628978723","1192.7955628978723","1191.873986945664","1191.873986945664","1191.873986945664","1193.1930800518376","1193.1930800518376","1193.1930800518376"
"171","1193.2655860701077","1193.2655860701077","1193.2655860701077","1191.503987824382","1191.503987824382","1191.503987824382","1193.0263204475768","1193.0263204475768","1193.0263204475768"
"173","1193.6315503682395","1193.6315503682395","1193.6315503682395","1190.8470665107302","1190.8470665107302","1190.8470665107302","1193.2700387236457","1193.2700387236457","1193.2700387236457"
"175","1193.3792248980626","1193.3792248980626","1193.3792248980626","1191.4218318803923","1191.4218318803923","1191.4218318803923","1193.1224891424595","1193.1224891424595","1193.1224891424595"
"177","1192.953675177798","1192.953675177798","1192.953675177798","1191.8541260106829","1191.8541260106829","1191.8541260106829","1193.3955459145932","1193.3955459145932","1193.3955459145932"
"179","1192.487325931662","1192.487325931662","1192.487325931662","1191.988978651578","1191.988978651578","1191.988978651578","1194.133373284445","1194.133373284445","1194.133373284445"
"181","1191.6447771691371","1191.6447771691371","1191.6447771691371","1192.1567448304193","1192.1567448304193","1192.1567448304193","1194.500270231058","1194.500270231058","1194.500270231058"
"183","1191.1070149982615","1191.1070149982615","1191.1070149982615","1191.2508149729738","1191.2508149729738","1191.2508149729738","1194.9936764105314","1194.9936764105314","1194.9936764105314"
"185","1190.5960054935674","1190.5960054935674","1190.5960054935674","1191.2324926035963","1191.2324926035963","1191.2324926035963","1195.4492578689503","1195.4492578689503","1195.4492578689503"
"187","1190.2240182191736","1190.2240182191736","1190.2240182191736","1190.9218294086031","1190.9218294086031","1190.9218294086031","1195.7787725606088","1195.7787725606088","1195.7787725606088"
"189","1190.4958952555548","1190.4958952555548","1190.4958952555548","1191.1305055567839","1191.1305055567839","1191.1305055567839","1195.8286447513983","1195.8286447513983","1195.8286447513983"
"191","1190.8266601763755","1190.8266601763755","1190.8266601763755","1191.197105803331","1191.197105803331","1191.197105803331","1195.7016495274515","1195.7016495274515","1195.7016495274515"
"193","1192.0218987324965","1192.0218987324965","1192.0218987324965","1191.0950313367255","1191.0950313367255","1191.0950313367255","1195.9625555836517","1195.9625555836517","1195.9625555836517"
"195","1193.464221364225","1193.464221364225","1193.464221364225","1191.2917447419154","1191.2917447419154","1191.2917447419154","1196.1473710212717","1196.1473710212717","1196.1473710212717"
"197","1195.622149062806","1195.622149062806","1195.622149062806","1191.9587363909338","1191.9587363909338","1191.9587363909338","1195.7220465025125","1195.7220465025125","1195.7220465025125"
"199","1195.6489070392263","1195.6489070392263","1195.6489070392263","1191.2497425040292","1191.2497425040292","1191.2497425040292","1195.0995747321167","1195.0995747321167","1195.0995747321167"
"201","1195.6217452950657","1195.6217452950657","1195.6217452950657","1190.3651487277546","1190.3651487277546","1190.3651487277546","1194.4490527673288","1194.4490527673288","1194.4490527673288"
"203","1195.264213825584","1195.264213825584","1195.264213825584","1190.35886521794","1190.35886521794","1190.35886521794","1195.2326062648158","1195.2326062648158","1195.2326062648158"
"205","1194.202825688276","1194.202825688276","1194.202825688276","1190.1940690931497","1190.1940690931497","1190.1940690931497","1195.4067058222959","1195.4067058222959","1195.4067058222959"
"207","1192.9352140120745","1192.9352140120745","1192.9352140120745","1190.1962068432522","1190.1962068432522","1190.1962068432522","1195.3364989948473","1195.3364989948473","1195.3364989948473"
"209","1191.9562731327242","1191.9562731327242","1191.9562731327242","1190.0132124284848","1190.0132124284848","1190.0132124284848","1195.6465757783603","1195.6465757783603","1195.6465757783603"
"211","1191.5203392230612","1191.5203392230612","1191.5203392230612","1189.9411665992343","1189.9411665992343","1189.9411665992343","1196.2016428295976","1196.2016428295976","1196.2016428295976"
"213","1191.1667211619306","1191.1667211619306","1191.1667211619306","1190.4809804848744","1190.4809804848744","1190.4809804848744","1196.4680841356633","1196.4680841356633","1196.4680841356633"
"215","1191.1461203970034","1191.1461203970034","1191.1461203970034","1190.6220297847449","1190.6220297847449","1190.6220297847449","1195.6146780510157","1195.6146780510157","1195.6146780510157"
"217","1191.6018289502797","1191.6018289502797","1191.6018289502797","1190.0186208584873","1190.0186208584873","1190.0186208584873","1195.8549259158574","1195.8549259158574","1195.8549259158574"
"219","1191.6217508297245","1191.6217508297245","1191.6217508297245","1190.1636521636049","1190.1636521636049","1190.1636521636049","1195.9773495843467","1195.9773495843467","1195.9773495843467"
"221","1192.065034013971","1192.065034013971","1192.065034013971","1189.6086482662695","1189.6086482662695","1189.6086482662695","1195.8446086828708","1195.8446086828708","1195.8446086828708"
"223","1192.5410059518917","1192.5410059518917","1192.5410059518917","1189.7070394000684","1189.7070394000684","1189.7070394000684","1196.0489770806328","1196.0489770806328","1196.0489770806328"
"225","1192.4706546764862","1192.4706546764862","1192.4706546764862","1190.0150055820704","1190.0150055820704","1190.0150055820704","1195.978456124158","1195.978456124158","1195.978456124158"
"227","1192.1237245756552","1192.1237245756552","1192.1237245756552","1189.9033367765578","1189.9033367765578","1189.9033367765578","1195.7507473527828","1195.7507473527828","1195.7507473527828"
"229","1192.310417969466","1192.310417969466","1192.310417969466","1189.9894111736246","1189.9894111736246","1189.9894111736246","1195.3544921863634","1195.3544921863634","1195.3544921863634"
"231","1192.0497748838386","1192.0497748838386","1192.0497748838386","1189.65016189588","1189.65016189588","1189.65016189588","1195.1991035275146","1195.1991035275146","1195.1991035275146"
"233","1191.449078265954","1191.449078265954","1191.449078265954","1190.3470875272612","1190.3470875272612","1190.3470875272612","1195.0018615829563","1195.0018615829563","1195.0018615829563"
