"Step","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX"
"125","1177.5011641084798","1177.5011641084798","1177.5011641084798","1197.689562313114","1197.689562313114","1197.689562313114","1200.7604865347532","1200.7604865347532","1200.7604865347532"
"127","1177.1590804248185","1177.1590804248185","1177.1590804248185","1197.8319529696237","1197.8319529696237","1197.8319529696237","1198.8697086417797","1198.8697086417797","1198.8697086417797"
"129","1172.6478349527447","1172.6478349527447","1172.6478349527447","1197.7935289028665","1197.7935289028665","1197.7935289028665","1198.0177587666337","1198.0177587666337","1198.0177587666337"
"131","1173.307417520624","1173.307417520624","1173.307417520624","1198.518727701741","1198.518727701741","1198.518727701741","1196.2869924550362","1196.2869924550362","1196.2869924550362"
"133","1172.1802892815367","1172.1802892815367","1172.1802892815367","1198.8100708379422","1198.8100708379422","1198.8100708379422","1195.813339535986","1195.813339535986","1195.813339535986"
"135","1172.884601501406","1172.884601501406","1172.884601501406","1200.093054761829","1200.093054761829","1200.093054761829","1194.993468808673","1194.993468808673","1194.993468808673"
"137","1172.2037875304227","1172.2037875304227","1172.2037875304227","1200.3632393589778","1200.3632393589778","1200.3632393589778","1192.7108108069663","1192.7108108069663","1192.7108108069663"
"139","1171.8755136232885","1171.8755136232885","1171.8755136232885","1199.4295395265033","1199.4295395265033","1199.4295395265033","1194.3591679236333","1194.3591679236333","1194.3591679236333"
"141","1173.084367421057","1173.084367421057","1173.084367421057","1195.6498683345444","1195.6498683345444","1195.6498683345444","1193.8665230521221","1193.8665230521221","1193.8665230521221"
"143","1173.5955634668262","1173.5955634668262","1173.5955634668262","1193.849377583209","1193.849377583209","1193.849377583209","1196.0182999968386","1196.0182999968386","1196.0182999968386"
