"Step","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","lyric-armadillo-72penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","magic-serenity-71penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean__MIN","dry-microwave-70penalty_weight0 - custom_metrics.total_energy_costs_mean__MAX"
"87","1205.8642420773137","1205.8642420773137","1205.8642420773137","1196.7358019091564","1196.7358019091564","1196.7358019091564","1202.3808940765557","1202.3808940765557","1202.3808940765557"
"89","1204.4203716060301","1204.4203716060301","1204.4203716060301","1198.348062227771","1198.348062227771","1198.348062227771","1203.1309316180416","1203.1309316180416","1203.1309316180416"
"91","1204.636665006163","1204.636665006163","1204.636665006163","1198.69358667067","1198.69358667067","1198.69358667067","1204.6549213484207","1204.6549213484207","1204.6549213484207"
"93","1204.2719437778544","1204.2719437778544","1204.2719437778544","1198.5331819799599","1198.5331819799599","1198.5331819799599","1205.287945130701","1205.287945130701","1205.287945130701"
"95","1204.194031652811","1204.194031652811","1204.194031652811","1199.9310833897014","1199.9310833897014","1199.9310833897014","1206.1334166671932","1206.1334166671932","1206.1334166671932"
"97","1203.4434393147258","1203.4434393147258","1203.4434393147258","1200.9772327180196","1200.9772327180196","1200.9772327180196","1207.5149394443213","1207.5149394443213","1207.5149394443213"
"99","1202.8277736384605","1202.8277736384605","1202.8277736384605","1200.8695064323415","1200.8695064323415","1200.8695064323415","1208.7582117868315","1208.7582117868315","1208.7582117868315"
"101","1202.3292418276062","1202.3292418276062","1202.3292418276062","1202.0040973290766","1202.0040973290766","1202.0040973290766","1210.892478401871","1210.892478401871","1210.892478401871"
"103","1200.980196560988","1200.980196560988","1200.980196560988","1204.7420261592438","1204.7420261592438","1204.7420261592438","1211.8867518159116","1211.8867518159116","1211.8867518159116"
"105","1200.9025040332515","1200.9025040332515","1200.9025040332515","1205.9349041533644","1205.9349041533644","1205.9349041533644","1212.7916656351738","1212.7916656351738","1212.7916656351738"
"107","1200.0297648702463","1200.0297648702463","1200.0297648702463","1205.650582811265","1205.650582811265","1205.650582811265","1213.1104527831335","1213.1104527831335","1213.1104527831335"
"109","1199.5731307330018","1199.5731307330018","1199.5731307330018","1205.5998657236776","1205.5998657236776","1205.5998657236776","1213.1083972943072","1213.1083972943072","1213.1083972943072"
"111","1200.806877532635","1200.806877532635","1200.806877532635","1204.421106372285","1204.421106372285","1204.421106372285","1211.5180038910134","1211.5180038910134","1211.5180038910134"
