"Step","peach-sun-81penalty_weight0.75 - custom_metrics.total_energy_costs_mean","peach-sun-81penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MIN","peach-sun-81penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MAX","mild-dew-80penalty_weight0.75 - custom_metrics.total_energy_costs_mean","mild-dew-80penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MIN","mild-dew-80penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MAX","lilac-microwave-79penalty_weight0.75 - custom_metrics.total_energy_costs_mean","lilac-microwave-79penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MIN","lilac-microwave-79penalty_weight0.75 - custom_metrics.total_energy_costs_mean__MAX"
"99","1203.6404750987767","1203.6404750987767","1203.6404750987767","1200.804512456933","1200.804512456933","1200.804512456933","1199.4950659006854","1199.4950659006854","1199.4950659006854"
"101","1202.8761764958751","1202.8761764958751","1202.8761764958751","1200.1905909567909","1200.1905909567909","1200.1905909567909","1199.266603653949","1199.266603653949","1199.266603653949"
"103","1202.628515785315","1202.628515785315","1202.628515785315","1199.5230278218542","1199.5230278218542","1199.5230278218542","1199.9325100325564","1199.9325100325564","1199.9325100325564"
"105","1202.757316585011","1202.757316585011","1202.757316585011","1198.6216378386064","1198.6216378386064","1198.6216378386064","1200.1403897967564","1200.1403897967564","1200.1403897967564"
"107","1201.9432467048077","1201.9432467048077","1201.9432467048077","1198.2022958150262","1198.2022958150262","1198.2022958150262","1200.1683866327398","1200.1683866327398","1200.1683866327398"
"109","1200.623486130164","1200.623486130164","1200.623486130164","1198.1553599487938","1198.1553599487938","1198.1553599487938","1199.8804683629924","1199.8804683629924","1199.8804683629924"
"111","1197.9816686063787","1197.9816686063787","1197.9816686063787","1198.7051309479402","1198.7051309479402","1198.7051309479402","1199.1729629547676","1199.1729629547676","1199.1729629547676"
"113","1196.5281644719792","1196.5281644719792","1196.5281644719792","1197.5911083952333","1197.5911083952333","1197.5911083952333","1198.0437173341336","1198.0437173341336","1198.0437173341336"
"115","1196.669560615735","1196.669560615735","1196.669560615735","1197.971650311344","1197.971650311344","1197.971650311344","1197.4681610140021","1197.4681610140021","1197.4681610140021"
"117","1197.0560350159624","1197.0560350159624","1197.0560350159624","1198.2494941302903","1198.2494941302903","1198.2494941302903","1196.5119929386474","1196.5119929386474","1196.5119929386474"
"119","1197.1532941492558","1197.1532941492558","1197.1532941492558","1198.349337301261","1198.349337301261","1198.349337301261","1196.6704337136894","1196.6704337136894","1196.6704337136894"
"121","1196.1316038720483","1196.1316038720483","1196.1316038720483","1198.1732926035966","1198.1732926035966","1198.1732926035966","1196.4336693555008","1196.4336693555008","1196.4336693555008"
"123","1197.5680095141765","1197.5680095141765","1197.5680095141765","1197.3417413914085","1197.3417413914085","1197.3417413914085","1195.9774160571478","1195.9774160571478","1195.9774160571478"
"125","1197.5525605335524","1197.5525605335524","1197.5525605335524","1197.3071718083254","1197.3071718083254","1197.3071718083254","1196.1683233049905","1196.1683233049905","1196.1683233049905"
"127","1196.6240283876475","1196.6240283876475","1196.6240283876475","1196.816510614154","1196.816510614154","1196.816510614154","1196.4764151404995","1196.4764151404995","1196.4764151404995"
"129","1195.224278559914","1195.224278559914","1195.224278559914","1196.4016892720545","1196.4016892720545","1196.4016892720545","1196.3321961785248","1196.3321961785248","1196.3321961785248"
"131","1194.813620472864","1194.813620472864","1194.813620472864","1196.2917359863445","1196.2917359863445","1196.2917359863445","1196.175571722982","1196.175571722982","1196.175571722982"
"133","1194.0838768404083","1194.0838768404083","1194.0838768404083","1197.1380453361564","1197.1380453361564","1197.1380453361564","1195.7993292695255","1195.7993292695255","1195.7993292695255"
"135","1193.9930196921327","1193.9930196921327","1193.9930196921327","1197.6106356860635","1197.6106356860635","1197.6106356860635","1195.6192503461132","1195.6192503461132","1195.6192503461132"
"137","1193.7470899864084","1193.7470899864084","1193.7470899864084","1197.7928967948915","1197.7928967948915","1197.7928967948915","1195.4975451433445","1195.4975451433445","1195.4975451433445"
"139","1193.3720661377506","1193.3720661377506","1193.3720661377506","1198.2999637607859","1198.2999637607859","1198.2999637607859","1194.8825643265793","1194.8825643265793","1194.8825643265793"
"141","1193.2739474855393","1193.2739474855393","1193.2739474855393","1198.448527967253","1198.448527967253","1198.448527967253","1193.6827320921702","1193.6827320921702","1193.6827320921702"
"143","1193.1282414103741","1193.1282414103741","1193.1282414103741","1198.4347504314565","1198.4347504314565","1198.4347504314565","1192.9381860669466","1192.9381860669466","1192.9381860669466"
"145","1192.9116210607833","1192.9116210607833","1192.9116210607833","1198.235738546638","1198.235738546638","1198.235738546638","1192.9429942504023","1192.9429942504023","1192.9429942504023"
"147","1192.4464651863327","1192.4464651863327","1192.4464651863327","1198.0904972026424","1198.0904972026424","1198.0904972026424","1191.955103192464","1191.955103192464","1191.955103192464"
"149","1191.8724535859913","1191.8724535859913","1191.8724535859913","1198.0527553023355","1198.0527553023355","1198.0527553023355","1192.0281855612093","1192.0281855612093","1192.0281855612093"
"151","1191.767832215444","1191.767832215444","1191.767832215444","1197.8071463918825","1197.8071463918825","1197.8071463918825","1192.5001898220432","1192.5001898220432","1192.5001898220432"
"153","1191.4807921547556","1191.4807921547556","1191.4807921547556","1197.6552096532537","1197.6552096532537","1197.6552096532537","1192.970268211271","1192.970268211271","1192.970268211271"
"155","1191.214640199766","1191.214640199766","1191.214640199766","1198.7827703732967","1198.7827703732967","1198.7827703732967","1192.6858739482245","1192.6858739482245","1192.6858739482245"
"157","1190.8544315737904","1190.8544315737904","1190.8544315737904","1198.6860400638488","1198.6860400638488","1198.6860400638488","1193.1593133008814","1193.1593133008814","1193.1593133008814"
"159","1190.3430456395995","1190.3430456395995","1190.3430456395995","1199.7496007807308","1199.7496007807308","1199.7496007807308","1193.3050444100256","1193.3050444100256","1193.3050444100256"
"161","1190.0586487878118","1190.0586487878118","1190.0586487878118","1199.049037162183","1199.049037162183","1199.049037162183","1193.6632940133384","1193.6632940133384","1193.6632940133384"
"163","1189.8396512343143","1189.8396512343143","1189.8396512343143","1199.5286184499157","1199.5286184499157","1199.5286184499157","1193.5692275184115","1193.5692275184115","1193.5692275184115"
"165","1189.7828281695483","1189.7828281695483","1189.7828281695483","1199.6243158232446","1199.6243158232446","1199.6243158232446","1193.6838815785309","1193.6838815785309","1193.6838815785309"
"167","1190.013334345861","1190.013334345861","1190.013334345861","1199.4246533489263","1199.4246533489263","1199.4246533489263","1193.5929813793969","1193.5929813793969","1193.5929813793969"
"169","1191.3072797958089","1191.3072797958089","1191.3072797958089","1199.5394328444538","1199.5394328444538","1199.5394328444538","1193.7765728830161","1193.7765728830161","1193.7765728830161"
"171","1192.691311081961","1192.691311081961","1192.691311081961","1199.9302085848844","1199.9302085848844","1199.9302085848844","1193.166735316243","1193.166735316243","1193.166735316243"
"173","1193.2211902708852","1193.2211902708852","1193.2211902708852","1200.7533302873214","1200.7533302873214","1200.7533302873214","1193.5183117330969","1193.5183117330969","1193.5183117330969"
"175","1193.760206169991","1193.760206169991","1193.760206169991","1201.0741977210223","1201.0741977210223","1201.0741977210223","1193.399154780794","1193.399154780794","1193.399154780794"
"177","1193.890643338496","1193.890643338496","1193.890643338496","1200.7955048708786","1200.7955048708786","1200.7955048708786","1193.1217585106042","1193.1217585106042","1193.1217585106042"
"179","1193.262794952113","1193.262794952113","1193.262794952113","1200.2472042671552","1200.2472042671552","1200.2472042671552","1193.451512096595","1193.451512096595","1193.451512096595"
"181","1192.4745536239213","1192.4745536239213","1192.4745536239213","1200.0561710339155","1200.0561710339155","1200.0561710339155","1193.0302253500643","1193.0302253500643","1193.0302253500643"
"183","1191.8942295255556","1191.8942295255556","1191.8942295255556","1199.273414954009","1199.273414954009","1199.273414954009","1192.4647664854438","1192.4647664854438","1192.4647664854438"
"185","1191.33793585675","1191.33793585675","1191.33793585675","1198.2424315895937","1198.2424315895937","1198.2424315895937","1192.4398811739413","1192.4398811739413","1192.4398811739413"
"187","1190.8938708158169","1190.8938708158169","1190.8938708158169","1197.23972489174","1197.23972489174","1197.23972489174","1192.4766641021583","1192.4766641021583","1192.4766641021583"
"189","1190.607404497898","1190.607404497898","1190.607404497898","1197.1841255618417","1197.1841255618417","1197.1841255618417","1192.5341412460089","1192.5341412460089","1192.5341412460089"
"191","1191.2150640800328","1191.2150640800328","1191.2150640800328","1196.8787104276632","1196.8787104276632","1196.8787104276632","1192.710598805196","1192.710598805196","1192.710598805196"
"193","1190.816679991782","1190.816679991782","1190.816679991782","1195.7746498719848","1195.7746498719848","1195.7746498719848","1192.685611726775","1192.685611726775","1192.685611726775"
"195","1190.8660574675223","1190.8660574675223","1190.8660574675223","1195.039628100009","1195.039628100009","1195.039628100009","1192.744152890602","1192.744152890602","1192.744152890602"
"197","1191.79954261466","1191.79954261466","1191.79954261466","1195.616004681227","1195.616004681227","1195.616004681227","1192.7971812213539","1192.7971812213539","1192.7971812213539"
"199","1191.9592548313685","1191.9592548313685","1191.9592548313685","1196.264429263204","1196.264429263204","1196.264429263204","1192.8701373866033","1192.8701373866033","1192.8701373866033"
"201","1192.2149403641308","1192.2149403641308","1192.2149403641308","1196.1928037772225","1196.1928037772225","1196.1928037772225","1193.014568672756","1193.014568672756","1193.014568672756"
"203","1192.3252797610394","1192.3252797610394","1192.3252797610394","1196.9796166134586","1196.9796166134586","1196.9796166134586","1193.2370445269773","1193.2370445269773","1193.2370445269773"
"205","1192.2563933906504","1192.2563933906504","1192.2563933906504","1198.2975140341998","1198.2975140341998","1198.2975140341998","1193.7849122514774","1193.7849122514774","1193.7849122514774"
"207","1192.3689274141038","1192.3689274141038","1192.3689274141038","1198.4325827069565","1198.4325827069565","1198.4325827069565","1194.1534915004577","1194.1534915004577","1194.1534915004577"
"209","1191.9905500932452","1191.9905500932452","1191.9905500932452","1198.7458469892842","1198.7458469892842","1198.7458469892842","1194.1211247747883","1194.1211247747883","1194.1211247747883"
"211","1191.7653218004236","1191.7653218004236","1191.7653218004236","1198.544841859215","1198.544841859215","1198.544841859215","1194.078929784745","1194.078929784745","1194.078929784745"
"213","1191.9962605620003","1191.9962605620003","1191.9962605620003","1198.761620709928","1198.761620709928","1198.761620709928","1194.1088778013082","1194.1088778013082","1194.1088778013082"
"215","1192.9627455668997","1192.9627455668997","1192.9627455668997","1198.879849451591","1198.879849451591","1198.879849451591","1194.2921509561584","1194.2921509561584","1194.2921509561584"
"217","1193.8903468375638","1193.8903468375638","1193.8903468375638","1199.1132317855672","1199.1132317855672","1199.1132317855672","1193.8532185542238","1193.8532185542238","1193.8532185542238"
"219","1194.3290562663972","1194.3290562663972","1194.3290562663972","1199.2436116035017","1199.2436116035017","1199.2436116035017","1193.4460484021868","1193.4460484021868","1193.4460484021868"
"221","1195.2750419319154","1195.2750419319154","1195.2750419319154","1199.2566788759991","1199.2566788759991","1199.2566788759991","1192.5019657647686","1192.5019657647686","1192.5019657647686"
"223","1195.683005774884","1195.683005774884","1195.683005774884","1198.093458210323","1198.093458210323","1198.093458210323","1192.7369006985487","1192.7369006985487","1192.7369006985487"
"225","1195.473534257357","1195.473534257357","1195.473534257357","1198.772510196921","1198.772510196921","1198.772510196921","1191.9939801940761","1191.9939801940761","1191.9939801940761"
"227","1194.5886541075324","1194.5886541075324","1194.5886541075324","1199.4370529158891","1199.4370529158891","1199.4370529158891","1191.5851526314123","1191.5851526314123","1191.5851526314123"
"229","1194.6394747732086","1194.6394747732086","1194.6394747732086","1200.1236488921195","1200.1236488921195","1200.1236488921195","1192.1012302651957","1192.1012302651957","1192.1012302651957"
"231","1194.5290134209945","1194.5290134209945","1194.5290134209945","1200.1349691911366","1200.1349691911366","1200.1349691911366","1192.4797948193568","1192.4797948193568","1192.4797948193568"
"233","1195.0651007238362","1195.0651007238362","1195.0651007238362","1200.3047051932858","1200.3047051932858","1200.3047051932858","1193.0122768404078","1193.0122768404078","1193.0122768404078"
"235","1195.187349467396","1195.187349467396","1195.187349467396","1201.8608745393046","1201.8608745393046","1201.8608745393046","1193.244229990201","1193.244229990201","1193.244229990201"
"237","1195.241883876474","1195.241883876474","1195.241883876474","1200.7957794386316","1200.7957794386316","1200.7957794386316","1194.0382878496691","1194.0382878496691","1194.0382878496691"
"239","1195.4686471884188","1195.4686471884188","1195.4686471884188","1200.5091640737107","1200.5091640737107","1200.5091640737107","1194.036233631507","1194.036233631507","1194.036233631507"
"241","1195.5259023832853","1195.5259023832853","1195.5259023832853","1200.2244098523877","1200.2244098523877","1200.2244098523877","1193.9330204602202","1193.9330204602202","1193.9330204602202"
"243","1195.1640368777066","1195.1640368777066","1195.1640368777066","1200.3277868160692","1200.3277868160692","1200.3277868160692","1193.697539491734","1193.697539491734","1193.697539491734"
"245","1194.803813316686","1194.803813316686","1194.803813316686","1200.3200842494543","1200.3200842494543","1200.3200842494543","1193.5722080696648","1193.5722080696648","1193.5722080696648"
"247","1194.8534914087934","1194.8534914087934","1194.8534914087934","1200.5993551474533","1200.5993551474533","1200.5993551474533","1193.2091507001292","1193.2091507001292","1193.2091507001292"
"249","1194.7852061952776","1194.7852061952776","1194.7852061952776","1201.1302030944776","1201.1302030944776","1201.1302030944776","1192.976212368429","1192.976212368429","1192.976212368429"
"251","1195.0373777918262","1195.0373777918262","1195.0373777918262","1201.3094409141188","1201.3094409141188","1201.3094409141188","1192.7909144672374","1192.7909144672374","1192.7909144672374"
"253","1194.8327521604451","1194.8327521604451","1194.8327521604451","1200.3823401808006","1200.3823401808006","1200.3823401808006","1193.290815333312","1193.290815333312","1193.290815333312"
"255","1194.5397940481082","1194.5397940481082","1194.5397940481082","1199.9818755223312","1199.9818755223312","1199.9818755223312","1193.3701576476906","1193.3701576476906","1193.3701576476906"
