Datum;Anfang;Ende;Deutschland/Luxemburg [€/MWh] Originale Auflösungen;∅ Anrainer DE/LU [€/MWh] Originale Auflösungen;Belgien [€/MWh] Originale Auflösungen;Dänemark 1 [€/MWh] Originale Auflösungen;Dänemark 2 [€/MWh] Originale Auflösungen;Frankreich [€/MWh] Originale Auflösungen;Niederlande [€/MWh] Originale Auflösungen;Norwegen 2 [€/MWh] Originale Auflösungen;Österreich [€/MWh] Originale Auflösungen;Polen [€/MWh] Originale Auflösungen;Schweden 4 [€/MWh] Originale Auflösungen;Schweiz [€/MWh] Originale Auflösungen;Tschechien [€/MWh] Originale Auflösungen;DE/AT/LU [€/MWh] Originale Auflösungen;Italien (Nord) [€/MWh] Originale Auflösungen;Slowenien [€/MWh] Originale Auflösungen;Ungarn [€/MWh] Originale Auflösungen
05.09.2022;02:00;03:00;212,45;219,32;212,62;212,45;191,53;213,08;212,45;218,8;217,75;132,2;191,53;390;220,07;-;355;218,08;219,79
05.09.2022;03:00;04:00;222,84;228,19;222,84;222,84;210;222,83;222,84;229,5;222,83;127,9;210;395,65;222,88;-;317;222,7;222,97
05.09.2022;04:00;05:00;239,33;242,67;239,33;239,33;233,58;239,33;239,33;246,47;239,33;126,45;233,58;393,34;239,33;-;300;239,33;239,33
05.09.2022;05:00;06:00;367,52;348,64;367,52;367,52;358,7;367,52;367,52;378,5;367,52;142,07;358,7;391,94;367,52;-;367,52;367,52;367,52
05.09.2022;06:00;07:00;459,9;440,71;459,9;459,9;459,9;459,9;459,9;459,9;459,9;272,67;459,9;436,02;459,9;-;459,9;459,9;459,9
05.09.2022;07:00;08:00;506,5;494,23;506,5;506,5;506,5;506,5;506,5;506,5;506,5;363,02;506,5;515;506,5;-;506,5;506,5;506,5
05.09.2022;08:00;09:00;519,93;509,91;519,93;519,93;519,93;519,93;519,93;519,93;519,93;398,6;519,93;530,99;519,93;-;519,93;519,93;519,93
05.09.2022;09:00;10:00;470,49;456,73;455,6;470,49;470,49;482,64;463,24;478,92;492,56;237,91;478,92;514,02;479,2;-;489,59;489,59;489,83
05.09.2022;10:00;11:00;400,99;409,67;413,2;400,99;400,99;467,91;383,3;431,66;471,04;179,59;431,66;490,07;435,95;-;470;470;469,17
05.09.2022;11:00;12:00;308,08;356,95;285,37;308,08;308,08;475,88;282,05;387,98;475,88;141,57;387,98;475,2;398,33;-;475,88;478,47;477,05
05.09.2022;12:00;13:00;250,01;340,22;236;250,01;250,01;457,98;227,18;404,91;509,97;128,63;379,64;503,11;394,93;-;457,98;513,09;516,02
05.09.2022;13:00;14:00;182,56;317,01;235,67;182,56;182,56;449,16;182,56;400,99;514,92;137,12;343,62;497,96;360;-;449,16;516,65;518,98
05.09.2022;14:00;15:00;204,1;307,43;266,39;204,1;204,1;455,57;204,1;293,05;519,96;121,18;293,05;514,23;305,99;-;459,28;482,69;470,27
05.09.2022;15:00;16:00;267,37;347,11;290,99;267,37;267,37;424,25;267,37;404,93;509,96;159,44;379,62;460,89;386,05;-;487,58;487,58;490,89
05.09.2022;16:00;17:00;346,51;392,16;350,55;346,51;346,51;466,03;362;404,22;514,94;229,04;391,8;503,21;398,96;-;506,5;506,5;498,9
05.09.2022;17:00;18:00;487,05;473,38;472,98;487,05;487,05;516,48;471,56;487,05;520,07;251,23;487,05;520,62;506,09;-;520,32;520,32;520,79
05.09.2022;18:00;19:00;564,27;540,5;555,4;559,79;559,79;571,1;559,79;549,9;569,27;330,59;549,9;570,98;568,99;-;571,1;571,1;572,37
05.09.2022;19:00;20:00;601,62;577,46;575,6;589;589;622,75;589;582,97;616,21;412,2;582,97;591,72;600,63;-;631;631;640,04
05.09.2022;20:00;21:00;523,03;515,92;501,51;506,82;506,82;575,66;506,82;506,82;563,91;400,38;506,82;570,37;529,17;-;575,66;575,66;586,48
05.09.2022;21:00;22:00;420,15;435,78;415,83;420,15;410,06;520,2;403,27;420,15;508,58;269,98;410,06;571,76;443,52;-;520,2;520,2;531,01
05.09.2022;22:00;23:00;309,49;370,35;323,58;309,49;268,44;493,7;399,9;331,28;497,88;238,23;268,44;540,43;402,51;-;493,7;493,7;493,23
05.09.2022;23:00;00:00;225,45;274,98;237,5;225,45;147,97;459,28;299,9;232,18;385,71;147,97;147,97;495,78;245,03;-;459,28;425,19;456,35
06.09.2022;00:00;01:00;273,51;285,42;387,36;273,51;55,74;522,18;273,51;281,68;385,12;136,79;55,74;479,98;288;-;522,18;423,88;431,41
06.09.2022;01:00;02:00;298,29;293,48;372,05;298,29;59,49;479,5;298,29;307,84;409,01;136,87;59,49;449,91;357,58;-;479,5;438,73;434,79
06.09.2022;02:00;03:00;275,68;279,65;334,57;275,68;59,67;461,15;285;284,5;411,05;136,93;59,67;428,8;339,15;-;461,15;440,61;416,22
06.09.2022;03:00;04:00;282,87;286,17;342,15;282,87;58,57;450,5;310,5;291,92;409,02;137,09;58,57;459,81;346,85;-;450,5;436,21;421,32
06.09.2022;04:00;05:00;286,75;272;286,8;286,75;74,69;348,95;286,75;295,92;385,24;140,08;74,69;450,27;361,88;-;446,77;420,1;420,1
06.09.2022;05:00;06:00;340,91;328,51;340,91;340,91;169,91;415,18;340,91;396,12;436,76;148,66;169,91;443,92;410,4;-;469,99;467;469,99
06.09.2022;06:00;07:00;513,03;472,3;513,03;509,8;425,01;551,4;509,8;465,62;541,51;221,35;425,01;497,52;535,26;-;551,4;551,4;556,74
06.09.2022;07:00;08:00;553,88;523,5;555,92;553,88;525,05;566,28;562,26;525,05;563,15;223,01;525,05;597,25;561,63;-;566,28;566,28;568,23
06.09.2022;08:00;09:00;561,75;531,7;561,68;561,75;549,98;571,14;561,75;544,33;569,83;201,73;548,26;611,46;566,79;-;571,14;571,14;571,9
06.09.2022;09:00;10:00;478,46;479,35;482,58;478,46;466,98;566,28;492,51;478,15;566,28;138,54;466,98;617,62;518,43;-;566,28;565,1;563,32
06.09.2022;10:00;11:00;431,07;445,19;434,13;431,07;431,07;539,95;448,9;444,86;539,95;105,82;431,07;611,62;478,66;-;539,95;535,52;532,86
06.09.2022;11:00;12:00;304,49;381,64;332,74;304,49;304,49;546,75;399,2;314,24;546,75;105,87;304,49;609,68;429,35;-;546,75;546,75;548,33
06.09.2022;12:00;13:00;255,17;340,74;345,4;255,17;255,17;531,86;256,07;263,33;539,96;105,85;255,17;568,07;372,09;-;531,86;531,86;523,75
06.09.2022;13:00;14:00;267,1;342,66;275,67;267,1;267,1;526,5;296,71;275,64;556,61;105,83;267,1;568,07;362,92;-;526,5;526,5;514,69
06.09.2022;14:00;15:00;279,92;351,89;307;279,92;274,92;476,12;333,6;288,87;540;105,85;274,92;584,73;404,81;-;532,52;527,63;530,01
06.09.2022;15:00;16:00;363,97;405;419,91;363,97;355,23;501,95;363,97;389,92;541,63;139,26;355,23;572,6;451,37;-;541,63;541,63;545,38
06.09.2022;16:00;17:00;443,33;448,2;443,33;434,52;416,16;505,09;434,52;475,9;539,97;191,46;416,16;576,37;496,67;-;554,84;554,84;551,33
